attendance_id,student_id,enrollment_no,subject_id,subject_name,faculty_id,lecture_date,lecture_number,day_name,department_code,semester_no,academic_year,attendance_status
1,STU000001,2023010001,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
2,STU000001,2023010001,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
3,STU000001,2023010001,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
4,STU000002,2023010002,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
5,STU000002,2023010002,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
6,STU000002,2023010002,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
7,STU000003,2023010003,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
8,STU000003,2023010003,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
9,STU000003,2023010003,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
10,STU000004,2023010004,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
11,STU000004,2023010004,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
12,STU000004,2023010004,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
13,STU000005,2023010005,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
14,STU000005,2023010005,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
15,STU000005,2023010005,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
16,STU000006,2023010006,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
17,STU000006,2023010006,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,A
18,STU000006,2023010006,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
