timttable_id,department_code,semester_no,academic_year,day_name,slot_no,start_time,end_time,subject_id,subject_name,faculty_id,lecture_type
1,1,7,2026-2027,Monday,1,13:00:00,14:00:00,SUB0053,Deep Learning,FAC008,Theory
2,1,7,2026-2027,Monday,2,14:00:00,15:00:00,SUB0050,Software Engineering,FAC005,Theory
3,1,7,2026-2027,Monday,3,15:00:00,16:00:00,SUB0051,Human Computer Interaction,FAC006,Theory
4,1,7,2026-2027,Tuesday,1,13:00:00,14:00:00,SUB0054,Natural Language Processing,FAC009,Theory
5,1,7,2026-2027,Tuesday,2,14:00:00,15:00:00,SUB0053,Deep Learning,FAC008,Theory
6,1,7,2026-2027,Tuesday,3,15:00:00,16:00:00,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,Theory
7,1,7,2026-2027,Wednesday,1,13:00:00,14:00:00,SUB0050,Software Engineering,FAC005,Theory
8,1,7,2026-2027,Wednesday,2,14:00:00,15:00:00,SUB0051,Human Computer Interaction,FAC006,Theory
9,1,7,2026-2027,Wednesday,3,15:00:00,16:00:00,SUB0054,Natural Language Processing,FAC009,Theory
10,1,7,2026-2027,Thursday,1,13:00:00,14:00:00,SUB0053,Deep Learning,FAC008,Theory
11,1,7,2026-2027,Thursday,2,14:00:00,15:00:00,SUB0055,Deep Learning Laboratory,FAC010,Lab
12,1,7,2026-2027,Thursday,3,15:00:00,16:00:00,SUB0055,Deep Learning Laboratory,FAC010,Lab
13,1,7,2026-2027,Friday,1,13:00:00,14:00:00,SUB0050,Software Engineering,FAC005,Theory
14,1,7,2026-2027,Friday,2,14:00:00,15:00:00,SUB0056,Natural Language Processing Laboratory,FAC011,Lab
15,1,7,2026-2027,Friday,3,15:00:00,16:00:00,SUB0056,Natural Language Processing Laboratory,FAC011,Lab
